@id	@type	name	domainIncludes	rangeIncludes	url	isPartOf	owl:cardinality	marginality	sameAs.@id	@type	sameAs.name	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url	sameAs.isPartOf	sameAs.owl:cardinality	sameAs.marginality
schema:description	schema:Property	description	schema:Thing	schema:Text	https://schema.org/description	schemaOriginObject:1	unspecified	unspecified	google:description	schema:Property	description	schema:Thing	schema:Text	https://schema.org/description	schemaUsageObjects:17	unspecified	minimal or required
schema:name	schema:Property	name	schema:Thing	schema:Text	https://schema.org/name	schemaOriginObject:1	unspecified	unspecified	google:name	schema:Property	name	schema:Thing	schema:Text	https://schema.org/name	schemaUsageObjects:17	unspecified	minimal or required
schema:identifier	schema:Property	identifier	schema:Thing	schema:Text	https://schema.org/identifier	schemaOriginObject:1	unspecified	unspecified	google:identifier	schema:Property	identifier	schema:Thing	schema:Text	https://schema.org/identifier	schemaUsageObjects:17	unspecified	recommended
schema:alternateName	schema:Property	alternateName	schema:Thing	schema:Text	https://schema.org/alternateName	schemaOriginObject:1	unspecified	unspecified	google:alternateName	schema:Property	alternateName	schema:Thing	schema:Text	https://schema.org/alternateName	schemaUsageObjects:17	unspecified	recommended
schema:sameAs	schema:Property	sameAs	schema:Thing	schema:URL	https://schema.org/sameAs	schemaOriginObject:1	unspecified	unspecified	google:sameAs	schema:Property	sameAs	schema:Thing	schema:URL	https://schema.org/sameAs	schemaUsageObjects:17	unspecified	recommended
schema:url	schema:Property	url	schema:Thing	schema:URL	https://schema.org/url	schemaOriginObject:1	unspecified	unspecified	google:url	schema:Property	url	schema:Thing	schema:URL	https://schema.org/url	schemaUsageObjects:17	unspecified	recommended
schema:citation	schema:Property	citation	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/citation	schemaOriginObject:1	unspecified	unspecified	google:citation	schema:Property	citation	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/citation	schemaUsageObjects:17	unspecified	recommended
schema:keywords	schema:Property	keywords	schema:CreativeWork	schema:Text	https://schema.org/keywords	schemaOriginObject:1	unspecified	unspecified	google:keywords	schema:Property	keywords	schema:CreativeWork	schema:Text	https://schema.org/keywords	schemaUsageObjects:17	unspecified	recommended
schema:license	schema:Property	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/license	schemaOriginObject:1	unspecified	unspecified	google:license	schema:Property	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/license	schemaUsageObjects:17	unspecified	recommended
schema:creator	schema:Property	creator	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/creator	schemaOriginObject:1	unspecified	unspecified	google:creator	schema:Property	creator	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/creator	schemaUsageObjects:17	unspecified	recommended
schema:isPartOf	schema:Property	isPartOf	schema:CreativeWork	schema:CreativeWork	https://schema.org/isPartOf	schemaOriginObject:1	unspecified	unspecified	google:isPartOf	schema:Property	isPartOf	schema:CreativeWork	schema:CreativeWork	https://schema.org/isPartOf	schemaUsageObjects:17	unspecified	recommended
schema:hasPart	schema:Property	hasPart	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart	schemaOriginObject:1	unspecified	unspecified	google:hasPart	schema:Property	hasPart	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart	schemaUsageObjects:17	unspecified	recommended
schema:version	schema:Property	version	schema:CreativeWork	"schema:Number,schema:Text"	https://schema.org/version	schemaOriginObject:1	unspecified	unspecified	google:version	schema:Property	version	schema:CreativeWork	"schema:Number,schema:Text"	https://schema.org/version	schemaUsageObjects:17	unspecified	recommended
schema:temporalCoverage	schema:Property	temporalCoverage	schema:CreativeWork	schema:Text	https://schema.org/temporalCoverage	schemaOriginObject:1	unspecified	unspecified	google:temporalCoverage	schema:Property	temporalCoverage	schema:CreativeWork	schema:Text	https://schema.org/temporalCoverage	schemaUsageObjects:17	unspecified	recommended
schema:spatialCoverage	schema:Property	spatialCoverage	schema:CreativeWork	"schema:Text,schema:Place"	https://schema.org/spatialCoverage	schemaOriginObject:1	unspecified	unspecified	google:spatialCoverage	schema:Property	spatialCoverage	schema:CreativeWork	"schema:Text,schema:Place"	https://schema.org/spatialCoverage	schemaUsageObjects:17	unspecified	recommended
schema:measurementTechnique	schema:Property	measurementTechnique	"schema:Dataset
schema:DataCatalog
schema.DataDowload"	"schema:Text,schema:URL"	https://schema.org/measurementTechnique	schemaOriginObject:1	unspecified	unspecified	google:measurementTechnique	schema:Property	measurementTechnique	"schema:Dataset
schema:DataCatalog
schema.DataDowload"	"schema:Text,schema:URL"	https://schema.org/measurementTechnique	schemaUsageObjects:17	unspecified	recommended
