	sameAs.nde:ComputationalTool	sameAs.owl:cardinality	sameAs.marginality	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url
0	date	one	minimal or required	['nde:Dataset', 'nde:ComputationalTool']	schema:Date	https://discovery.biothings.io/view/nde/date
1	includedInDataCatalog	Unspecified	minimal or required	nde:ComputationalTool	schema:DataCatalog	https://discovery.biothings.io/view/nde/includedInDataCatalog
2	citedBy	many	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:ScholarlyArticle	https://discovery.biothings.io/view/nde/citedBy
3	doi	one	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/nde/doi
4	topicCategory	many	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/nde/topicCategory
5	isBasisFor	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isBasisFor
6	isRelatedTo	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isRelatedTo
7	isSimilarTo	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isSimilarTo
8	funding	many	minimal or required	['niaid:Dataset', 'niaid:ComputationalTool']	niaid:MonetaryGrant	https://discovery.biothings.io/view/niaid/funding
9	codeRepository	many	recommended	niaid:ComputationalTool	schema:URL	https://discovery.biothings.io/view/niaid/codeRepository
10	programmingLanguage	many	recommended	niaid:ComputationalTool	['schema:Text', 'schema:ComputerLanguage']	https://discovery.biothings.io/view/niaid/programmingLanguage
11	infectiousAgent	many	optional	['niaid:Dataset', 'niaid:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/niaid/infectiousAgent
12	healthCondition	many	optional	['niaid:Dataset', 'niaid:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/niaid/healthCondition
