index	namespace	@context	@type	identifier	name	alternateName	url	version	citation.@type	citation.name	citation.url
1	schema	https://schema.org/	schema:CreativeWork	rdacw_schema	Schema.org	schema	https://schema.org/	5	schema:CreativeWork	Schema.org Version 5.0	https://htmlpreview.github.io/?https://github.com/schemaorg/schemaorg/blob/main/data/releases/5.0/schema-all.html
2	dct	http://purl.org/dc/terms/	schema:CreativeWork	rdacw_dct	Dublin Core Metadata Initiative Metadata Terms	"dct,dcterms"	http://purl.org/dc/terms/	Release: 2020-01-20	schema:CreativeWork	DCMI Metadata Terms	https://www.dublincore.org/specifications/dublin-core/dcmi-terms/
3	foaf	https://xmlns.com/foaf/spec/#term_	schema:CreativeWork	rdacw_foaf	Friend of a friend ontology	foaf	https://xmlns.com/foaf/spec/#term_	0.99	schema:CreativeWork	Friend of a Friend (FOAF): an experimental linked information system.	https://web.archive.org/web/20211023122305/http://www.foaf-project.org/
4	dcat	http://www.w3.org/ns/dcat#	schema:CreativeWork	rdacw_dcat	Data Catalog Vocabulary	dcat	https://www.w3.org/TR/vocab-dcat-3/	3	schema:CreativeWork	"Data Catalog Vocabulary (DCAT) - Version 3, W3C Working Draft 04 May 2021 "	https://www.w3.org/TR/2021/WD-vocab-dcat-3-20210504/
5	sosa	https://www.w3.org/TR/vocab-ssn/#SOSA	schema:CreativeWork	rdacw_sosa	"Sensor, Observation, Sample, and Actuator ontology"	sosa	https://www.w3.org/TR/vocab-ssn/#SOSA	"""2017-12"""	schema:CreativeWork	Origins of SSN and SOSA	https://www.w3.org/TR/vocab-ssn/#Developments
6	prov	http://www.w3.org/ns/prov#	schema:CreativeWork	rdacw_prov	PROV Ontology 	prov	http://www.w3.org/ns/prov#	"""2013-05"""	schema:CreativeWork	"PROV-Overview, An Overview of the PROV Family of Documents"	https://dvcs.w3.org/hg/prov/raw-file/default/overview/prov-overview.html
7	datacite	https://support.datacite.org/docs/datacite-metadata-schema-v44-properties-overview#	schema:CreativeWork	rdacw_datacite	DataCite	datacite	https://schema.datacite.org/meta/kernel-4.4/#	4	schema:CreativeWork	DataCite Metadata Schema v4.4 Properties Overview	https://support.datacite.org/docs/datacite-metadata-schema-v44-properties-overview#
8	skos	http://www.w3.org/2004/02/skos/core#	schema:CreativeWork	rdacw_skos	Simple Knowledge Organization System	skos	http://www.w3.org/2004/02/skos/core#	"""2009-08"""	schema:CreativeWork	"SKOS Simple Knowledge Organization System Namespace Document - HTML Variant, 18 August 2009 Recommendation Edition"	https://www.w3.org/2009/08/skos-reference/skos.html
9	dc	http://purl.org/dc/elements/1.1/	schema:CreativeWork	rdacw_dc	Dublin Core Metadata Initiative Metadata Elements	dc	http://purl.org/dc/elements/1.1/ 	Release: 2020-01-20 	schema:CreativeWork	DCMI Metadata Terms: Release History	https://www.dublincore.org/specifications/dublin-core/dcmi-terms/release_history/
10	bioschemas	https://discovery.biothings.io/view/bioschemas/	schema:CreativeWork	rdacw_bioschemas	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/profiles/	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
11	bioschemastypes	https://discovery.biothings.io/view/bioschemastypes/	schema:CreativeWork	rdacw_bioschemastypes	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/types	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
12	bioschemasdrafts	https://discovery.biothings.io/view/bioschemasdrafts/	schema:CreativeWork	rdacw_bioschemasdrafts	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/profiles#nav-draft	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
13	bioschemastypesdrafts	https://discovery.biothings.io/view/bioschemastypesdrafts/	schema:CreativeWork	rdacw_bioschemastypesdrafts	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/types#nav-draft	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
14	iso19115	https://www.iso.org/standard/53798.html#	schema:CreativeWork	rdacw_iso19115	"International Organization for Standardization, Geographic information - Metadata "	ISO19115-1	https://schemas.isotc211.org/schemas/19115/	ISO 19115-1:2014	schema:CreativeWork	"ISO 19115-1:2014, Geographic information - Metadata - Part 1: Fundamentals"	https://www.iso.org/standard/53798.html
15	spase	https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html#	schema:CreativeWork	rdacw_spase	Space Physics Archive Search and Extract	SPASE	https://spase-group.org/data/model/spase-2.4.0/index.html	2.4.0	schema:CreativeWork	SPASE Space Archive Search and Extract	https://spase-group.org/data/schema/
16	codemeta	https://codemeta.github.io/terms/#	schema:CreativeWork	rdacw_codemeta	The CodeMeta Project	CodeMeta	https://raw.githubusercontent.com/codemeta/codemeta/2.0-rc/codemeta.jsonld	2	schema:CreativeWork	The CodeMeta project	https://codemeta.github.io/index.html
16	owl	http://www.w3.org/2002/07/owl#	schema:CreativeWork	rdacw_owl	W3C Web Ontology Language	owl	https://www.w3.org/OWL/	"""2002"""	schema:CreativeWork	Web Ontology Language (OWL)	https://www.w3.org/OWL/
