index	namespace	@context	@type	name	alternateName	url	version	citation.@type	citation.name	citation.url
1	dcatap	https://ec-jrc.github.io/dcat-ap-to-schema-org/#background-dcat-ap	schema:CreativeWork	DCAT Application Profile for Data Portals in Europe	DCAT-AP	https://ec-jrc.github.io/dcat-ap-to-schema-org/#background-dcat-ap	working version April 2021	schema:CreativeWork	"DCAT-AP to Schema.org Mapping, Unofficial Draft 30 April 2021"	https://ec-jrc.github.io/dcat-ap-to-schema-org/
2	dcat	https://www.w3.org/TR/vocab-dcat-3/	schema:CreativeWork	Data Catalogue Vocabulary (DCAT) - Version 3	DCATv3	https://www.w3.org/TR/vocab-dcat-3/	Draft 04 May 2021	schema:CreativeWork	"Data Catalog Vocabulary (DCAT) - Version 3,  W3C Working Draft 04 May 2021 "	https://www.w3.org/TR/2021/WD-vocab-dcat-3-20210504/
3	datacite	https://schema.datacite.org/meta/kernel-4.4/#	schema:CreativeWork	DataCite	Datacite	https://schema.datacite.org/meta/kernel-4.4/#	4	schema:CreativeWork	DataCite Metadata Schema v4.4 Properties Overview	https://support.datacite.org/docs/datacite-metadata-schema-v44-properties-overview#
4	iso19115	https://schemas.isotc211.org/schemas/19115/	schema:CreativeWork	"International Organization for Standardization, Geographic information - Metadata "	ISO19115-1	https://schemas.isotc211.org/schemas/19115/	ISO 19115-1:2014	schema:CreativeWork	"ISO 19115-1:2014, Geographic information - Metadata - Part 1: Fundamentals"	https://www.iso.org/standard/53798.html
5	edmi	https://eosc-edmi.github.io/properties	schema:CreativeWork	European Open Science Cloud EDMI Metadata Properties	EOSC/EDMI	https://eosc-edmi.github.io/properties	released March 2019	schema:CreativeWork	EOSC Pilot - EDMI metadata set	https://docs.google.com/spreadsheets/d/1dtHpbp5cVaooVdqhvDjLHKM5Y8IfC-iRSU6OA6BLSUg/edit#gid=1110916251
6	dataverse	https://ddialliance.org/Specification/DDI-Codebook/2.5/	schema:CreativeWork	Dataverse	Dataverse	http://scholar.harvard.edu/files/mercecrosas/files/datacitewebinar-datacitationroadmap.pdf		schema:CreativeWork	An Introduction to the Dataverse Network as an Infrastructure for Data Sharing	https://dataverse.org/publications/introduction-dataverse-network-infrastructure-data-sharing
7	dats	https://docs.google.com/spreadsheets/d/1aHj_Qvlr7Sf4DlU4uc37PQEOPha8jTxMEdyL_Q7geLQ/edit#gid=0	schema:CreativeWork	Data Tag Suite	DATS	https://docs.google.com/spreadsheets/d/1aHj_Qvlr7Sf4DlU4uc37PQEOPha8jTxMEdyL_Q7geLQ/edit#gid=0		schema:CreativeWork	WG3-MetadataSpecifications: DataMed DATS specification v2 - NIH DB2K bioCADDIE	https://zenodo.org/record/54010
8	rifcs	https://www.ands.org.au/online-services/rif-cs-schema	schema:CreativeWork	Registry Interchange Format - Collections and Services	RIF-CS	https://www.ands.org.au/online-services/rif-cs-schema		schema:CreativeWork	Registry Interchange Format - Collections and Services	https://legacy.fairsharing.org/FAIRsharing.reybx2
9	dct	http://purl.org/dc/terms/	schema:CreativeWork	Dublin Core Elements and Terms	DC and DC Term	http://purl.org/dc/terms/		schema:CreativeWork	Dublin Core Metadata for Resource Discovery	https://www.ietf.org/rfc/rfc2413.txt
10	bioschemas	https://discovery.biothings.io/view/bioschemas/	schema:CreativeWork	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/profiles/	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
11	bioschemastypes	https://discovery.biothings.io/view/bioschemastypes/	schema:CreativeWork	Bioschemas	"bsc,bioschemas"	https://bioschemas.org/types	varies	schema:CreativeWork	Bioschemas: From Potato Salad to Protein Annotation.	https://www.research.manchester.ac.uk/portal/files/221774536/paper579.pdf
12	b2find	https://eudat.eu/services/userdoc/b2find-integration#UserDocumentation-B2FIND-Metadatamapping	schema:CreativeWork	B2FIND	B2FIND	https://eudat.eu/services/userdoc/b2find-integration#UserDocumentation-B2FIND-Metadatamapping	released November 2017	schema:CreativeWork	B2FIND Training	https://github.com/EUDAT-Training/B2FIND-Training
13	ddi	https://ddialliance.org/	schema:CreativeWork	"Document, Discover and Interoperate"	DDI	https://ddialliance.org/	codebook 2.5	schema:CreativeWork	DDI Codebook	https://ddialliance.org/Specification/DDI-Codebook/2.5/
14	ecrin	https://zenodo.org/record/1312539#.XdHWklczbIW	schema:CreativeWork	European Clinical Research Infrastructure Network Clinical Research Metadata Schema 	ECRIN Clinical Research Metadata Schema 			schema:CreativeWork	ECRIN Clinical Research Metadata Schema Version 2 (April 2018)	https://zenodo.org/record/1312539#.XdHWklczbIW
15	codemeta	https://raw.githubusercontent.com/codemeta/codemeta/2.0-rc/codemeta.jsonld	schema:CreativeWork	The CodeMeta Project	CodeMeta	https://raw.githubusercontent.com/codemeta/codemeta/2.0-rc/codemeta.jsonld	2	schema:CreativeWork	The CodeMeta project	https://codemeta.github.io/index.html
16	spase	https://spase-group.org/data/model/spase-2.4.0/index.html	schema:CreativeWork	Space Physics Archive Search and Extract	SPASE	https://spase-group.org/data/model/spase-2.4.0/index.html	2.4.0	schema:CreativeWork	SPASE Space Archive Search and Extract	https://spase-group.org/data/schema/
17	google	https://developers.google.com/search/docs/advanced/structured-data/dataset	schema:Dataset	Google Dataset Search	google	https://developers.google.com/search/docs/advanced/structured-data/dataset		schema:CreativeWork	Google Dataset Search Guide	https://developers.google.com/search/docs/advanced/structured-data/dataset#guidelines
18	google	https://developers.google.com/search/docs/advanced/structured-data/dataset	schema:DataDownload	Google Dataset Search	google	https://developers.google.com/search/docs/advanced/structured-data/dataset		schema:CreativeWork	Google Dataset Search Guide	https://developers.google.com/search/docs/advanced/structured-data/dataset#guidelines
19	google	https://developers.google.com/search/docs/advanced/structured-data/dataset	schema:DataCatalog	Google Dataset Search	google	https://developers.google.com/search/docs/advanced/structured-data/dataset		schema:CreativeWork	Google Dataset Search Guide	https://developers.google.com/search/docs/advanced/structured-data/dataset#guidelines
